,apartment_price_sqm,apartment_price_sqm,apartment_price_sqm,apartment_price_sqm,villa_price_sqm,villa_price_sqm,villa_price_sqm,villa_price_sqm,ipai_apartment,ipai_villa
,mean,min,max,count,mean,min,max,count,mean,mean
city,,,,,,,,,,
agadir,11210.62,5754.0,20906.0,80,10984.5,7167.0,16219.0,50,107.4,106.2
beni-mellal,5387.5,5146.0,5629.0,10,6984.0,6984.0,6984.0,5,107.4,106.2
berkane,6471.56,5254.0,8356.0,80,6524.0,5843.0,7205.0,10,107.4,106.2
casablanca,17659.8,10116.0,30706.0,100,18067.77,10750.0,27128.0,65,124.54,122.6
el-jadida,7715.0,5370.0,14079.0,90,7823.5,5390.0,10536.0,30,107.4,106.2
fes,6865.87,5551.0,8049.0,75,8049.83,6107.0,9370.0,30,107.4,106.2
kenitra,7282.39,5101.0,8524.0,90,8068.4,5860.0,13437.0,50,107.4,106.2
khouribga,6945.2,5867.0,7930.0,25,6671.5,5405.0,7938.0,10,107.4,106.2
marrakech,11128.0,6130.0,17464.0,100,10579.79,5547.0,16539.0,70,114.51,113.0
meknes,6914.7,5483.0,10089.0,100,7896.25,7169.0,8780.0,20,107.4,106.2
mohammedia,9249.1,7742.0,12503.0,50,11527.4,9831.0,16457.0,50,107.4,106.2
nador,6492.12,5511.0,10463.0,85,7517.0,7517.0,7517.0,5,107.4,106.2
oujda,9249.1,7742.0,12503.0,50,11527.4,9831.0,16457.0,50,107.4,106.2
rabat,15654.53,10953.0,22461.0,75,12463.5,7905.0,18473.0,50,118.32,116.69
safi,6262.26,5215.0,8240.0,95,6386.0,6386.0,6386.0,5,107.4,106.2
sale,8991.0,5293.0,16427.0,90,10251.12,6997.0,11461.0,40,107.4,106.2
tanger,11004.06,6692.0,17104.0,85,12976.5,7616.0,22251.0,30,112.72,111.32
taza,6365.0,6365.0,6365.0,5,,,,0,107.4,106.2
temara,10764.84,5533.0,14627.0,95,10622.1,6793.0,14431.0,50,107.4,106.2
tetouan,7660.0,5550.0,11375.0,95,9739.33,8485.0,10517.0,15,107.4,106.2
